distinct(al.name), rt.stop
40-Mile Air,0
ABSA - Aerolinhas Brasileiras,0
ALAK,0
Abaet,0
Abu Dhabi Amiri Flight,0
Adria Airways,0
Aegean Airlines,0
Aer Lingus,0
Aereonautica militare,0
Aero Condor Peru,0
Aero Flight,0
Aero Lanka,0
Aero-Service,0
AeroMéxico,0
AeroWorld ,0
Aerocondor,0
Aeroflot Russian Airlines,0
Aeroflot-Nord,0
Aerolane,0
Aeroline GmbH,0
Aerolineas Argentinas,0
Aerolineas Galapagos (Aerogal),0
Aeromar,0
Aeroper,0
Afriqiyah Airways,0
Aigle Azur,0
Air Algerie,0
Air Antilles Express,0
Air Arabia,0
Air Arabia Egypt,0
Air Arabia Maroc,0
Air Armenia,0
Air Astana,0
Air Atlanta Icelandic,0
Air Austral,0
Air Bagan,0
Air Baltic,0
Air Bangladesh,0
Air Berlin,0
Air Bosna,0
Air Botswana,0
Air Bourbon,0
Air Burkina,0
Air Busan,0
Air Caledonie International,0
Air Canada,0
Air Caraïbes,0
Air China,0
Air Choice One,0
Air Dolomiti,0
Air Europa,0
Air Europe,0
Air Florida,0
Air Foyle,0
Air France,0
Air Greenland,0
Air Iceland,0
Air India Express,0
Air India Limited,0
Air Italy,0
Air Koryo,0
Air Macau,0
Air Madagascar,0
Air Malta,0
Air Mandalay,0
Air Mauritius,0
Air Moldova,0
Air Mozambique,0
Air Namibia,0
Air New Zealand,0
Air Nippon,0
Air Niugini,0
Air North Charter - Canada,0
Air One,0
Air Pacific,0
Air Philippines,0
Air Rarotonga,0
Air Sahara,0
Air Saint Pierre,0
Air Salone,0
Air Senegal International,0
Air Seychelles,0
Air Sicilia,0
Air Sinai,0
Air Tahiti,0
Air Tahiti Nui,0
Air Tindi,0
Air Transat,0
Air Vanuatu,0
Air Zimbabwe,0
AirAsia,0
AirAsia X,0
AirTran Airways,0
Airbus France,0
Aircompany Yakutia,0
Airlinair,0
Airlines Of Tasmania,0
Airlines PNG,0
Airnorth,0
AlMasria Universal Airlines,0
Alaska Airlines,0
Alaska Central Express,0
Alaska Seaplane Service,0
Albanian Airlines,0
Alitalia,0
All Nippon Airways,0
Allegiant Air,0
Alpi Eagles,0
Alrosa Mirny Air Enterprise,0
Amaszonas,0
American Airlines,0
Amerijet International,0
Apache Air,0
Ariana Afghan Airlines,0
Arik Air,0
Arik Niger,0
Arkefly,0
Arkia Israel Airlines,0
Arrow Air,0
Aserca Airlines,0
Asia Wings,0
Asian Wings Airways,0
Asiana Airlines,0
Askari Aviation,0
Astair,0
Astrakhan Airlines,0
Astral Aviation,0
Atlant-Soyuz Airlines,0
Atlantic Airways,0
Atlantis European Airways,0
Atlasjet,0
Aurigny Air Services,0
Austrian Airlines,0
Avianca - Aerovias Nacionales de Colombia,0
Avient Aviation,0
Azerbaijan Airlines,0
Azul,0
BQB Lineas Aereas,0
BRA-Transportes Aereos,0
BVI Airways,0
Bahamasair,0
Baikotovitchestrian Airlines ,0
Bangkok Airways,0
Bearskin Lake Air Service,0
Belair Airlines,0
Belavia Belarusian Airlines,0
Benin Golf Air,0
Bering Air,0
Berjaya Air,0
Big Sky Airlines,0
Biman Bangladesh Airlines,0
Binter Canarias,0
Birmingham European,0
Blue Panorama Airlines,0
British Airways,0
Brussels Airlines,0
Bulgaria Air,0
BusinessAir,0
CAL Cargo Air Lines,0
Camair-co,0
Cambodia Angkor Air (K6),0
Cameroon Airlines,0
Canadian National Airways,0
Canadian North,0
Cape Air,0
Cargo Plus Aviation,0
Cargoitalia,0
Caribbean Airlines,0
Carpatair,0
Cathay Pacific,0
Catovair,0
Caucasus Airlines,0
Cayman Airways,0
Cebu Pacific,0
Changan Airlines,0
Chicago Express,0
China Airlines,0
China Eastern Airlines,0
China SSS,0
China Southern Airlines,0
China United,0
China United Airlines,0
Chitaavia,0
Ciel Canadien,0
Cielos Airlines,0
Citilink Indonesia,0
City Connexion Airlines,0
CityJet,0
Comair,0
Comores Airlines,0
Compagnie Africaine d\\'Aviation,0
Condor Flugdienst,0
Conviasa,0
Copa Airlines,0
Corsairfly,0
Corse-Mediterranee,0
Cosmic Air,0
Croatia Airlines,0
Cubana de Aviación,0
Cyprus Airways,0
Cyprus Turkish Airlines,0
Czech Airlines,0
DAT Danish Air Transport,0
Daallo Airlines,0
Delta Air Lines,0
Dennis Sky,0
Dragonair,0
Druk Air,0
EVA Air,0
Eagle Air,0
East African,0
Eastar Jet,0
Eastern Airways,0
Egyptair,0
El Al Israel Airlines,0
Emirates,0
Empresa Ecuatoriana De Aviacion,0
Era Alaska,0
Estafeta Carga Aerea,0
Estonian Air,0
Ethiopian Airlines,0
Etihad Airways,0
Euro Exec Express,0
Eurolot,0
Eurowings,0
Excel Airways,0
Express One International,0
Far Eastern Air Transport,0
Finnair,0
Firefly,0
First Air,0
Flightline,0
Flightlink Tanzania,0
Fly 6ix,0
Fly Air,0
Fly Colombia ( Interliging Flights ),0
Fly Dubai,0
Fly540,0
FlyLal,0
FlyNordic,0
Flybaboo,0
Flybe,0
Formosa Airlines,0
Frontier Airlines,0
Fuji Dream Airlines,0
